poste,lieu,entreprise,salaire,note,description
Juriste en droit social (F/H),Nantes,GIE Hospi Grand Ouest,Non renseigné,Non noté,"Rédiger des accords collectifs, DUE, etc. en lien avec l'actualité de l'entreprise. Vous êtes à l’aise avec les outils bureautiques (Word, Excel, PowerPoint) et…&hellip;
Compétences: Microsoft Powerpoint, Bureautique"
Ibode H/F,Avignon,Gi Group France,34 k € - 46 k € (fourni par l’employeur),"3,6","Vous réalisez des soins infirmiers et organisez les activités en salle d'intervention visant au bon déroulement de l'acte opératoire et à l'accompagnement du…&hellip;
Compétences: Sens de l'organisation"
AIDE-SOIGNANT F/H SECTEUR USC - CDD LONG,Soyaux,Elsan,Non renseigné,"3,8","La rémunération sera fonction de l'ancienneté justifiée dans l'emploi selon les critères définis dans la convention collective FHP.&hellip;
Compétences: Sens de l'organisation"
Alternance - Direction Artistique en Agence de Communication (H/F),Paris,Galileo Global Education France,Non renseigné,"2,9","Étudiant(e) en Bac+3 validé minimum dans le domaine du design graphique, de la communication visuelle ou des arts appliqués.&hellip;
Compétences: Adobe Photoshop, Typographie, Adobe Illustrator, Adobe InDesign"
Responsable rayon Frais LS (h/f),Roissy,LE MERCATO DE L'EMPLOI,32 k € - 33 k € (fourni par l’employeur),"4,4","Superviser et de gérer toute l'activité relative à ces produits. Votre expertise sera essentielle pour établir la stratégie commerciale et marketing de ces…&hellip;
Compétences: Gestion infomatique, Approvisionnement, Gestion de produit"
KEY ACCOUNT MANAGER SENIOR H/F,Tours,My Serious Game,Non renseigné,"4,6","Nos clients nous sollicitent pour les accompagner et les conseiller sur les enjeux des nouvelles compétences, de l’humain et de la digitalisation.&hellip;
Compétences: Anglais, Formation et développement"
Sales Manager (m/f/d),Paris,GATX Rail Austria GmbH,Non renseigné,"4,2","Osservazione del mercato e supporto alla ricerca di mercato. Garanzia della qualità delle informazioni e dei dati nel sistema di Customer Relationship…&hellip;
Compétences: Microsoft Office"
SENIOR ESTIMATOR - FRANCIA,Marseille,Impresa Pizzarotti & C. S.p.A.,Non renseigné,"3,6","L’IMPRESA PIZZAROTTI & C S.P.A., impresa di costruzioni generali, con cantieri in Italia e all’estero, è alla ricerca di un* Senior Estimator per l'Area Francia…&hellip;
Compétences: Stata"
Cloud Agile Associate Developer for SAP Digital Assistant F/M,Levallois-Perret,SAP Group,Non renseigné,"1,0","English communication skills it’s a must have. Understanding REST APIs utilization, development and management. Contribute to addressing performance issues.&hellip;
Compétences: CI/CD, Node.js, React, Tests automatisés, Anglais"
GYNECOLOGUE OBSTETRICIEN,Libourne,Centre Hospitalier Libourne,Non renseigné,"3,8","Situé à 38 km de Bordeaux (30 min accès facile train/route), le Centre Hospitalier de Libourne est l’un des plus importants centres hospitaliers d’Aquitaine et…&hellip;"
DIRECTEUR/TRICE DE LA POLYCLINIQUE LES FLEURS (83) - CDI H/F,Ollioules,Elsan,Non renseigné,"3,8",Au sein du Comité Territorial (COTER) dont vous faite partie aux côtés de l’ensemble des Directeurs du Territoire mais également des cadres en charges des…&hellip;
Técnico QA/QC - França M/F,Saint-Étienne,Ponticelli,Non renseigné,"3,3",Reportar ocorrências e eventos/desvios da Qualidade e sensibilizar os restantes colaboradores para que façam o mesmo;&hellip;
Alternance - Chef de Projet Communication International F/H - Melvita,Paris,L'Occitane,Non renseigné,"3,8","Le Groupe s’engage donc dans l’accompagnement de l’ensemble de ses collaborateurs-trices, afin que chacun-e puisse révéler son potentiel et s’épanouir…&hellip;
Compétences: Anglais, Esprit d'analyse, Gestion de projet"
Contrôleur financier grands projets (H/F),Coquelles,Getlink,Non renseigné,"3,9","Eurotunnel acteur majeur dans les infrastructures de transport à grande échelle, opère une installation stratégique à la croisée de deux marchés européens.…&hellip;
Compétences: Anglais, Esprit d'analyse"
EAM Les Chênes Bertin - Infirmier H/F - CDI,,EPNAK,Non renseigné,"3,9","Participez aux différentes réunions de l’unité, et à l’élaboration des projets d’accompagnement individualisé. Informez et éduquez la personne et son entourage.&hellip;
Compétences: Bureautique, Soins infirmiers"
CDI IDE 80% ou 100%,Saint-Vincent,EHPAD LA RESIDENCE LES CASCADES,2 k € - 3 k € (fourni par l’employeur),Non noté,"Nous avons 6 unités réparties sur 3 étages dont 4 unités ouvertes et 2 unités protégées. Week end en 5h horaire 16h-21h pour le temps partiel.&hellip;
Compétences: Anatomie, Soins aux patients, Terminologie médicale, Soins infirmiers"
Assistant Manager H/F,Betton,eurl Da Viken,Non renseigné,Non noté,"Gérer les plannings et l'organisation du personnel. Une capacité à travailler sous pression tout en maintenant un environnement positif pour l'équipe.&hellip;
Compétences: Expérience en gestion d'équipe, Gestion d'équipe, Gestion d'une cuisine, Restauration, Management en restauration"
Pharmacien hospitalier / PUI — H/F,Montpellier,Clinique du Millénaire,70 k € - 80 k € (fourni par l’employeur),"3,8","Débutant (moins de 2 ans), Expérimenté (2 à 5 ans), Confirmé (5 ans et plus). La Clinique du Millénaire est un établissement médico-chirurgical dont le projet…&hellip;
Compétences: Sens de l'organisation"
Aide soignant/AES/AMP H/F,Truchtersheim,Groupe ADEF Résidences,3 k € (fourni par l’employeur),"3,3","Aucune expérience, Débutant (moins de 2 ans), Expérimenté (2 à 5 ans), Confirmé (5 ans et plus).&hellip;
Compétences: Sens de l'organisation"
SUPPLY CHAIN QUALITY MANAGER (H/M),La Porta,PROCEMO,Non renseigné,"4,4",Garantir entregas pontuais e com qualidade por parte dos fornecedores. Experiência mínima de 5 anos em funções relacionadas à qualidade na cadeia de suprimentos…&hellip;
Stage - Jumeau numérique pour l'évolution microstructurale du joint de grains d'un combustible nucléaire,Saint-Paul-lès-Durance,CEA,Non renseigné,"4,1","Le CEA est un acteur majeur de la recherche, au service des citoyens, de l'économie et de l'Etat. Le développement, la maintenance et le chargement de…&hellip;
Compétences: Fortran"
TECNICO DE QUALIDADE (H/M),La Porta,PROCEMO,Non renseigné,"4,4","Para partilhar a sua expertise enquanto consultor(a) junto dos nossos clientes. Formação técnica ou superior em Engenharia, Qualidade ou áreas afins.&hellip;"
"Chargé du suivi budgétaire des marchés publics, des délégations de service public et des subventions H/F - EC22761",Villiers,VILLIERS-SUR-MARNE,Non renseigné,Non noté,"Analyse des rapports d’activité et présentation en CCSPL. Le poste est placé sous la responsabilité de la cheffe du service veille réglementaire et financement,…&hellip;
Compétences: Expérience administrative, Bureautique, Gestion financière"
Chargé d'Affaires Nucléaire F/H,Chalon,Segula Technologies,Non renseigné,"3,3","Des connaissances techniques (métallurgie, mécanique, soudage) seraient appréciées. La tenue d’un suivi des activités documentaires du périmètre ;&hellip;
Compétences: Expérience en mécanique, Anglais, Microsoft Office, Esprit d'analyse, Bureautique"
Infirmier de bloc - Circulant - Bloc opératoire SPEED F/H,Nantes,GIE Jules Verne,3 k € (fourni par l’employeur),"4,6","D'une ambiance de travail dynamique et solidaire, où le soutien mutuel est notre force, un peu comme les Avengers mais avec des blouses bleues nuit (comme dans…&hellip;"
Avionic System Engineer,Marignane,TXT e-solutions SPA,Non renseigné,"3,5","PACE Engineering and IT, una società del gruppo TXT, è alla ricerca di Avionic System Engineer da inserire nella propria business unit Aerospace & Aviation per…&hellip;"
Infirmier H/F,Paris,CASVP- EHPAD ALICE PRIN,2 k € (fourni par l’employeur),Non noté,"Participation à l’animation et à la vie sociale d l’établissement. Participer à l’évaluation du degré de dépendance des résidents. Aptitude au travail d’équipe.&hellip;
Compétences: Expérience en gestion d'équipe, Diagnostic médical, Gestion d'équipe, Mise en oeuvre de projets, Bureautique"
Militaire Équipier maître-chien armée de l'Air & de l'Espace,Lorient,ARMEE DE L'AIR ET DE L'ESPACE,2 k € (fourni par l’employeur),"4,1","Formation militaire se déroule pendant huit semaines au Centre de Préparation Opérationnelle du Combattant de l’Armée de l'air (CPOCAA)à Orange (Vaucluse).&hellip;
Compétences: Anglais, Expérience administrative, Esprit d'analyse"
Aide soignant H/F AES,Plumelin,Association Perrine Samson,Non renseigné,Non noté,Stimulation des résidents dans le cadre du projet individualisé validé en équipe pluridisciplinaire. Aptitude à communiquer (avec les différentes équipes//…&hellip;
Chef de service (H/F,La Force,Fondation John Bost,Non renseigné,"3,4","Profil recherché : Titulaire d'un diplôme de type IFCS, CAFERUIS, M1 vous avez une expérience de l'encadrement d'équipe ou de coordination de projets et vous…&hellip;
Compétences: Expérience en supervision"
Coach Agile (H/F) - CDI LYON,Lyon,Conserto,Non renseigné,"4,2","Le Clean Code dans nos projets chez nos clients. Déployant les méthodologies agiles et accompagnant les équipes (Squads) dans leur adoption des pratiques à…&hellip;
Compétences: Jira, SAFe, React, Java, JavaScript"
Cadre Logistique H/ F - Hôpital Edouard Herriot - BLOC OPERATOIRE H,Lyon,Hospices Civils de Lyon - HCL,Non renseigné,"3,6","Le/la cadre logistique de bloc opératoire a pour mission de coordonner, anticiper et optimiser l'organisation du bloc opératoire, en lien étroit avec les…&hellip;
Compétences: Expérience en milieu hospitalier"
Técnico de AVAC M/F - Porto,La Porta,Ponticelli,Non renseigné,"3,3",Diagnosticar e analisar eventuais avarias em equipamentos e sistemas intervencionados;&hellip;
Alternance Chargé de communication (F/H),Sorbiers,ISCOD,Non renseigné,"2,6",Décliner le plan de communication sur les différents canaux online et offline et analyser leur performance. Concevoir des visuels percutants pour les campagnes…&hellip;
Psychologue – neuropsychologue PCO 0-12 ans,La Roche,Apajh,Non renseigné,"3,2","Vous êtes à l’aise avec l’outil informatique. Au total, l’APAJH gère 700 établissements et services, tous types de handicap, tous les âges de la vie.&hellip;
Compétences: Bureautique"
Infirmier liberale H/F,Chartres,DA SILVA SANTA MARTA,Non renseigné,Non noté,"Cabinet de trois infirmières au sein d'une MSP, recherche un(e) remplaçant(e), avec ses autorisations à jour, pour fin juin et juillet, puis 4 à 6 jours par…&hellip;
Compétences: Physiologie, Soins aux patients, Pédiatrie, Terminologie médicale"
Assistant de Manager H/F en alternance,Paris,EXCHANGE COLLEGE,Non renseigné,"3,7","Une expérience antérieure en alternance ou en stage longue durée est préférable pour ce poste ; Support rédaction cahier des charges.&hellip;
Compétences: Microsoft Powerpoint"
